County,flow
Abbeville,-279
Aiken,-357
Allendale,4
Anderson,-799
Bamberg,-218
Barnwell,-847
Beaufort,3295
Berkeley,3197
Calhoun,213
Charleston,1873
Cherokee,433
Chester,-539
Chesterfield,-335
Clarendon,40
Colleton,-92
Darlington,1106
Dillon,-43
Dorchester,502
Edgefield,498
Fairfield,-350
Florence,-3623
Georgetown,11
Greenville,-344
Greenwood,1280
Hampton,106
Horry,3867
Jasper,280
Kershaw,-1025
Lancaster,-8
Laurens,1664
Lee,-31
Lexington,2240
Marion,-641
Marlboro,-250
McCormick,446
Newberry,166
Oconee,1655
Orangeburg,-2234
Pickens,2644
Richland,18743
Saluda,-409
Spartanburg,2344
Sumter,-1400
Union,-59
Williamsburg,-363
York,4621
